Question ID,Question,Option,Response,Next ID
1,Nice to meet you {Username}. How was your day?,Great,Noted. You reported that your day was great. That reflects a positive experience.,2
1,Nice to meet you {Username}. How was your day?,Good,Noted. You reported that your day was good. That reflects a positive experience.,2
1,Nice to meet you {Username}. How was your day?,Okay,Noted. You reported that your day was okay. That reflects a neutral experience.,6
1,Nice to meet you {Username}. How was your day?,Not good,Noted. You reported that your day was not good. That reflects a negative experience.,6
2,What made today so great?,Quality time with others,Got it. You indicated what made today so great was that: you spent quality time with others. ,3
2,What made today so great?,Accomplishing a goal,Got it. You have indicated that what made your day so great was that: you accomplished a goal. ,5
2,What made today so great?,Enjoying a favorite activity,Got it. You have indicated that what made today so great was: that you enjoyed your favourite activity.,4
2,What made today so great?,Receiving positive news,Got it. You have indicated that what made your day so great was that: you received positive news.,5
3,So I take it you are more of an extrovert?,100% introverted.,"Understood. Out of the two, you think you are only introverted and not extroverted.",4
3,So I take it you are more of an extrovert?,I can be both.,Understood. Your information has been received. That information about you has been noted.,4
3,So I take it you are more of an extrovert?,I am indecisive.,Understood. Your information has been received. That information about you has been noted.,4
3,So I take it you are more of an extrovert?,100% extraverted.,"Understood. Out of the two, you think you are only extroverted and not introverted.",4
4,What do you like to do in your free time {Username}?,Sports or outdoor activities.,"Recorded. You indicated that in your free time, you like to do activities such as sports or outdoor activities. This information has been noted for future reference.",12
4,What do you like to do in your free time {Username}?,"Entertaining myself such as reading, watching movies/tv or gaming.","Recorded. You indicated that in your free time, you like to enjoy activities such as reading or watching content. This information has been noted for future reference.",8
4,What do you like to do in your free time {Username}?,Something creative like drawing or playing music.,"Recorded. You have indicated that in your free time, you enjoy being creative by drawing or playing music. This information has been noted for future reference.",12
4,What do you like to do in your free time {Username}?,Learning new things or skills.,Recorded. You have indicated that you are motivated and enjoy learning new things or skills when you have free time. This information has been noted for the future.,15
5,Who is the first person you tell when you accomplish something?,My family,Acknowledged. That is recognised as enjoyable. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
5,Who is the first person you tell when you accomplish something?,My friends,Acknowledged. That is recognised as enjoyable. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
5,Who is the first person you tell when you accomplish something?,I keep it to myself,Acknowledged. This can be an effective approach. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
6,Why do you think today was not good?,Unexpected challenges.,"Got it. Input received. You have stated, that today was not good because things did not go to plan.",7
6,Why do you think today was not good?,Frustrating obstacles.,"Got it. Input received. You have stated, that today was not good because things did not go to plan.",7
6,Why do you think today was not good?,Felt anxious.,"Got it. Input received. Perhaps, engaging in enjoyable activities may provide assistance for you.",4
6,Why do you think today was not good?,Poor connections,"Got it. Input received. Perhaps, engaging in enjoyable activities may provide assistance for you.",4
6,Why do you think today was not good?,I do not want to talk about this,"Got. Input received. You prefer not to talk about it, let's move on with the conversation.",4
7,What type of challenges or obstacles did you face?,Work-related,Thank you for your input. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
7,What type of challenges or obstacles did you face?,Personal,Thank you for your input. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
7,What type of challenges or obstacles did you face?,Health-related,Thank you for your input. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
7,What type of challenges or obstacles did you face?,Social,Thank you for your input. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
7,What type of challenges or obstacles did you face?,I do not want to talk about this,Thank you for your input. Let us shift topics. I aim to gather additional information about you for a more comprehensive understanding.,4
8,"Relating to this idea, would you say you do this in the morning or the night?",I am a night owl!,Thank you for letting me know you prefer to spend time at the end of the day.,9
8,"Relating to this idea, would you say you do this in the morning or the night?",Definitely a morning person,Thank you for letting me know you prefer to spend time at the start of your day.,10
9,"So, since you stay up so late, you must need caffine! Do you enjoy coffee or tea more?",I definitely love coffee.,"Understood your preference. You prefer to drink coffee more instead of tea. Speaking of, the effect a drink has on you can also depend on which season it is.",11
9,"So, since you stay up so late, you must need caffine! Do you enjoy coffee or tea more?",I like them equally.,"Understood your preference. You do not have a strong opinon and like both drinks equally. Speaking of, the effect a drink has on you can also depend on which season it is.",11
9,"So, since you stay up so late, you must need caffine! Do you enjoy coffee or tea more?",I am a tea person for sure.,"Understood your preference. Between the two it appears you like to drink tea more. Speaking of, the effect a drink has on you can also depend on which season it is.",11
